model_name,accuracy,precision,recall,f1_score,roc_auc,eer,tn_fp_fn_tp
cnn_only,0.999194976654323,0.9992827685135377,0.9998205956225332,0.9995516097211012,0.9999916740315402,0.0007736989802959145,"[2532, 16, 4, 22292]"
rf_only,0.91994042827242,0.9235389813540232,0.9930032292787944,0.9570122544252091,0.9235092661516042,0.153332548967256,"[715, 1833, 156, 22140]"
fusion_70_30,0.9991547254870391,0.9991932230738201,0.9998654467168999,0.9995292218710068,0.9998415073572692,0.0027640102989941514,"[2530, 18, 3, 22293]"
fusion_50_50,0.9981484463049428,0.9980302623332438,0.9999102978112666,0.9989693955280727,0.9997898969143012,0.0034928581849233723,"[2504, 44, 2, 22294]"
fusion_80_20,0.9992352278216068,0.9992828006634094,0.9998654467168999,0.9995740387848896,0.9998725581149078,0.0023659480352544926,"[2532, 16, 3, 22293]"
